,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
DEAL,iDealCash,Scrypt,PoW/PoS,1685381666.80915,5121951220
JUMP,Jumpcoin,NIST5,PoW,21168238.5047296,21000000
XBI,Bitcoin Incognito,XEVAN,PoS/PoW,16070286.3623154,21000000
HWC,HollyWoodCoin,Scrypt,PoS,38706809.466535,26000000
PLTC,PlatinCoin,CryptoNight,PoW,84300,600000518
NCP,Newton Coin,CryptoNight,PoW,41294520017,184000000000
VIG,TheVig,SHA-256D,PoW/PoS,33238183.7225834,100000000
PLURA,PluraCoin,CryptoNight,PoW,734354170.394259,1000000000
EMAR,EmaratCoin,Scrypt,PoW/PoS,21599339.6728,84000000
DKD,Dekado,X15,PoS,30284196.369129,90000000
BWS,BitcoinWSpectrum,SHA-256,PoS,57811001.000889,100262205
XMN,Motion,X16R,PoW,8586665.07980556,22075700
PLUS1,PlusOneCoin,HMQ1725,PoW,8827306.64733177,21000000
AXE,Axe,X11,PoW,5798401.81171711,21000000
DTEM,Dystem,Quark,PoS,8556029.89958439,21000000
TPC,TPCash,Scrypt,PoW/PoS,5403802.49590733,1000000000
WEBC,Webchain,CryptoNight-V7,PoW,15580199.3087496,1750000000
URALS,Urals Coin,XEVAN,PoW,14921928.4775854,210000000
QWC,Qwertycoin,CryptoNight Heavy,PoW,129987372743.977,184470000000
KETAN,Ketan,PoS,PoS,9327131.59708692,210000000
PPAI,Project Pai,SHA-256,PoW,2100000000,2100000000
XCG,Xchange,X16R,PoW,9753753.61515394,100000000
CRYP,CrypticCoin,Equihash,PoW,4235111504,7600000000
BTXC,Bettex coin,XEVAN,PoS,6902423.66368873,50000000
TCH,TigerCash,SHA-256,PoS,1000000000,1000000000
BITM,BitMoney,XEVAN,Pos,208515864.367343,70000000000
FIII,Fiii,SHA3-256,DPoC,-5917977547.96773,5000000000
JMC,Junson Ming Chan Coin,X11,PoS,25883567927.494,0
FRED,FREDEnergy,CryptoNight,PoW,1867054873.28397,8080000000
ZND,Zenad,Quark,POS / MN,37016406.841466,46000000
UMO,Universal Molecule,Blake,PoW,1910595.01091127,105120001.44
LIT,Lithium,Blake,PoW,16094024.0820747,25228800
PIRATE,PirateCash,Equihash,PoS,24605820,105000000
EXO,Exosis,Exosis,PoW,406091.925,21000000
OWC,Oduwa,Scrypt,PoW/PoS,14802654.0920171,21000000
BEAM,Beam,Equihash,PoW,70623080,262800000
BTT,BitTorrent,TRC10,DPoS,989988668553.032,990000000000
GALI,Galilel,Quark,PoW/PoS,21222442.8845995,0
BTH,Bithereum,Equihash,PoW,25862325,30886000
CSPN,Crypto Sports,Quark,PoS,3094542.8,13370000
CREDIT,Credit,Scrypt,PoW/PoS,30825710000.0296,74800000000
SCRIBE,Scribe Network,Lyra2REv2,PoW,8318828.95880445,32700000
SLC,SLICE,QuBit,PoW,13074751.9743701,100000000
VOLLAR,Vollar,Equihash+Scrypt,PoW,100000000,2100000000
NSD,Nasdacoin,Scrypt,PoW/PoS,22726009.4269788,84000000
GEX,Gexan,PHI2,PoW/PoS,3540545.27797382,21000000
BEET,Beetle Coin,XEVAN,PoW/PoS,238885682.670268,500000000
TTN,Titan Coin,SHA-256D,PoW/PoS,910820210.159069,5000000000
BLAST,BLAST,SHA-256,PoW,45536167.4853548,64000000
XRC,Bitcoin Rhodium,X13,PoW,1290415,2100000
BDX,Beldex,CryptoNight,PoW,980222595,1400222610
STREAM,STREAMIT COIN,Quark,PoS,13525221.9683862,840000000
BLOCM,BLOC.MONEY,Cryptonight Haven,PoW,16087249.3575,50000000
LOBS,Lobstex,Quark,PoS,20217278.219895,78600000
BTCK,Bitcoin Turbo Koin,Quark,PoS,23393156.9759463,21461354
USX,Unified Society USDEX,Scrypt,PoW/PoS,241465761.469601,232000000
CRW,Crown Coin,Multiple,PoS,25524235.3354247,42000000
GEN,Genstake,Scrypt,PoW/PoS,60000000,15000000
VEN,VeChain Old,VeChainThor Authority,Proof of Authority,1000000000,86712634466
PIZZA,PizzaCoin,X11,PoW,1377917,25000000
MUDRA,MudraCoin,X13,PoS,5000000,200000000
STCN,Stakecoin,PoS,PoS,4000000,61599965
FRAZ,FrazCoin,Scrypt,PoW,9704042,20000000
LINX,Linx,Scrypt,PoW,33716526,100000000
XCXT,CoinonatX,X11,PoW/PoS,19539588,48252000
SUMO,Sumokoin,CryptoNight,PoW,8946653,88888888
OMNI,Omni,Scrypt,PoW,616448,616448
ODN,Obsidian,SHA-512,PoS,25000000,91388946
ATCC,ATC Coin,Scrypt,PoW,410000000,410000000
WOMEN,WomenCoin,Scrypt,PoW/PoS,48459472454,90000000000
MAY,Theresa May Coin,SHA-256,PoW/PoS,92050800,100000000
PIRL,Pirl,Dagger,PoW,33986980,156306732.71
XIOS,Xios,Scrypt,PoW/PoS,2149688,21000000
VIP,VIP Tokens,NIST5,PoW/PoS,83450403,90000000
ELLA,Ellaism,Ethash,PoW,12756367,280000000
SAFEX,SafeExchangeCoin,Scrypt,PoC,2147483647,2147483647
SEM,Semux,Semux BFT consensus,DPoS,1231147,100000000
KSH,Kahsh,SHA-256,PoS,74343518.4900086,1000000000
ECA,Electra,NIST5,PoW/PoS,28399150208,30000000000
PART,Particl,PoS,PoS,9687557.93977679,0
ADZ,Adzcoin,X11,PoW,45110324,84000000
GPU,GPU Coin,Scrypt,PoS,40477042,221052632
CARE,Carebit,Quark,PoW/PoS,159798252.637522,200000000
NZL,Zealium,PoS,PoS,15442024.2869785,80000000
